組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
AABBDC,1-2-3,73,0.171,1-2-4,47,0.11,1-3-2,35,0.082,426
AABBDD,1-2-3,15,0.163,1-2-4,11,0.12,1-4-3,6,0.065,92
AABBDS,2-3-1,1,0.5,1-2-4,1,0.5,---,0,0.0,2
AABCAB,1-3-2,1,1.0,---,0,0.0,---,0,0.0,1
AABCAC,1-5-2,6,0.1,1-2-3,5,0.083,1-2-4,5,0.083,60
AABCAD,1-2-5,32,0.106,1-2-3,29,0.096,1-2-4,26,0.086,302
AABCBA,1-6-3,1,1.0,---,0,0.0,---,0,0.0,1
AABCBB,1-2-3,16,0.099,1-3-2,15,0.093,1-3-4,10,0.062,161
AABCBC,1-2-3,118,0.151,1-2-5,66,0.085,1-2-4,54,0.069,781
AABCBD,1-2-3,87,0.164,1-3-2,45,0.085,1-2-4,44,0.083,531
AABCCA,1-2-3,8,0.178,1-2-6,4,0.089,1-4-6,2,0.044,45
AABCCB,1-2-3,95,0.134,1-3-2,67,0.094,1-2-4,59,0.083,710
AABCCC,1-2-3,101,0.177,1-3-2,52,0.091,1-2-4,39,0.068,570
AABCCD,1-2-3,18,0.25,1-2-4,8,0.111,1-2-5,6,0.083,72
AABCDA,1-2-6,25,0.11,1-2-3,20,0.088,1-3-2,15,0.066,227
AABCDB,1-2-3,66,0.171,1-3-2,40,0.104,1-2-6,31,0.08,386
AABCDC,1-2-3,11,0.229,1-2-4,6,0.125,2-1-3,4,0.083,48
AABCDD,1-2-4,1,0.5,1-2-3,1,0.5,---,0,0.0,2
AABCDS,1-2-3,4,0.16,1-3-2,2,0.08,1-6-2,2,0.08,25
AABCSD,1-5-2,3,0.13,1-5-3,2,0.087,3-5-1,2,0.087,23
AABDAA,2-1-4,1,0.5,1-2-5,1,0.5,---,0,0.0,2
AABDAB,1-2-6,6,0.146,1-2-3,5,0.122,1-5-3,4,0.098,41
AABDAC,1-2-3,17,0.1,1-2-5,17,0.1,1-5-2,14,0.082,170
AABDAD,1-2-3,30,0.178,1-2-5,18,0.107,2-1-5,11,0.065,169
AABDBA,1-2-3,6,0.143,1-3-6,3,0.071,1-2-4,3,0.071,42
AABDBB,1-2-3,62,0.168,1-2-5,28,0.076,1-2-6,22,0.059,370
AABDBC,1-2-3,61,0.185,1-2-5,34,0.103,1-3-2,23,0.07,330
AABDBD,1-2-3,12,0.188,1-2-5,7,0.109,1-3-2,7,0.109,64
AABDCA,1-2-3,25,0.152,1-2-6,16,0.098,1-3-2,16,0.098,164
AABDCB,1-2-3,58,0.185,1-3-2,25,0.08,1-2-6,22,0.07,314
AABDCC,1-2-3,12,0.25,1-3-2,6,0.125,2-1-3,5,0.104,48
AABDCS,3-1-5,2,0.143,1-2-3,2,0.143,2-1-3,2,0.143,14
AABDDA,1-2-3,19,0.138,1-3-2,13,0.094,2-1-3,10,0.072,138
AABDDB,1-2-3,6,0.118,1-2-6,6,0.118,2-1-6,4,0.078,51
AABDDC,3-2-1,1,0.5,1-2-3,1,0.5,---,0,0.0,2
AABDDS,1-2-6,9,0.148,1-2-3,9,0.148,1-6-2,5,0.082,61
AABDSC,2-1-5,2,0.154,1-3-5,2,0.154,1-2-3,2,0.154,13
AABDSD,1-2-3,9,0.164,1-2-5,8,0.145,1-5-2,5,0.091,55
AABSBD,3-1-5,1,1.0,---,0,0.0,---,0,0.0,1
AABSCD,1-4-2,12,0.308,1-2-4,6,0.154,1-3-4,3,0.077,39
AABSDC,1-4-2,2,0.182,1-2-3,2,0.182,6-3-1,1,0.091,11
AABSDD,1-2-4,16,0.18,1-4-2,14,0.157,1-3-2,10,0.112,89
AACAAD,2-1-4,6,0.136,1-3-2,5,0.114,1-2-3,4,0.091,44
AACABC,1-2-4,16,0.222,1-2-3,6,0.083,1-4-2,5,0.069,72
AACABD,1-2-4,72,0.157,1-4-2,48,0.104,1-2-3,31,0.067,460
AACACB,1-2-4,8,0.148,1-2-3,4,0.074,1-4-2,4,0.074,54
AACACC,1-2-4,46,0.132,1-4-2,32,0.092,1-2-3,28,0.08,348
AACACD,1-2-4,69,0.193,1-2-3,36,0.101,1-4-2,29,0.081,357
AACADA,1-2-4,3,0.125,1-2-6,3,0.125,1-4-2,2,0.083,24
AACADB,1-2-4,33,0.133,1-2-3,19,0.077,1-4-2,18,0.073,248
AACADC,1-2-3,29,0.146,1-2-4,28,0.141,1-4-2,21,0.106,199
AACADD,4-2-1,7,0.159,1-4-2,5,0.114,1-4-5,5,0.114,44
AACADS,3-2-4,1,1.0,---,0,0.0,---,0,0.0,1
AACASD,4-1-5,1,1.0,---,0,0.0,---,0,0.0,1
AACBAC,1-2-3,5,0.1,1-2-4,4,0.08,1-4-2,3,0.06,50
AACBAD,1-2-3,25,0.097,1-2-4,23,0.089,1-2-5,22,0.086,257
AACBBB,1-2-3,14,0.097,1-2-4,12,0.083,1-2-6,12,0.083,145
AACBBC,1-2-4,80,0.116,1-2-3,73,0.106,1-2-5,49,0.071,690
AACBBD,1-2-3,74,0.133,1-2-4,69,0.124,1-3-2,42,0.075,557
AACBCA,1-2-6,4,0.105,1-2-3,3,0.079,1-3-2,3,0.079,38
